order_id,order_line,order_date,region,sales_channel,payment_method,customer_id,customer_segment,category,product,unit_price,quantity,discount_pct,unit_cost,shipping_fee,tax_rate,is_return,gross_sales,discount_amount,net_sales,cogs,gross_profit,tax_amount,total_revenue,profit_margin_pct
100000,1,2024-04-12,Alberta,Web,PayPal,4092,Consumer,Electronics,Smartphone,228.41,3,0.0,157.97,0.0,0.05,0,685.23,0.0,685.23,473.91,211.32,34.26,719.49,0.3084
100001,1,2025-05-06,Nova Scotia,Web,BNPL,2184,Consumer,Sports & Outdoors,Dumbbells,526.85,1,0.0,304.47,0.0,0.15,0,526.85,0.0,526.85,304.47,222.38,79.03,605.88,0.4221
100002,1,2024-07-08,Ontario,Mobile App,Credit Card,2267,Consumer,Home & Kitchen,Air Fryer,254.79,1,0.0,188.49,14.99,0.13,0,254.79,0.0,254.79,188.49,66.3,33.12,302.9,0.2602
100003,1,2024-12-11,Ontario,Mobile App,Credit Card,2478,Consumer,Electronics,Camera,384.04,1,0.0,269.24,4.99,0.13,0,384.04,0.0,384.04,269.24,114.8,49.93,438.96,0.2989
100003,2,2024-12-11,Ontario,Mobile App,Credit Card,2478,Consumer,Beauty,Moisturizer,105.64,1,0.1,67.6,4.99,0.13,0,105.64,10.56,95.08,67.6,27.48,12.36,112.43,0.289
100004,1,2024-09-27,Ontario,Web,Credit Card,3343,Small Business,Beauty,Conditioner,100.83,1,0.15,67.7,0.0,0.13,0,100.83,15.12,85.71,67.7,18.01,11.14,96.85,0.2101
100004,2,2024-09-27,Ontario,Web,Credit Card,3343,Small Business,Electronics,Smartphone,373.11,1,0.0,234.68,0.0,0.13,0,373.11,0.0,373.11,234.68,138.43,48.5,421.61,0.371
100005,1,2025-05-13,British Columbia,Retail Store,PayPal,2796,Small Business,Electronics,Laptop,1385.2,2,0.0,788.29,4.99,0.05,0,2770.4,0.0,2770.4,1576.58,1193.82,138.52,2913.91,0.4309
100005,2,2025-05-13,British Columbia,Retail Store,PayPal,2796,Small Business,Home & Kitchen,Microwave,276.39,1,0.0,183.04,4.99,0.05,1,276.39,0.0,276.39,183.04,93.35,13.82,295.2,0.3377
100006,1,2024-01-05,British Columbia,Retail Store,Credit Card,1392,Consumer,Beauty,Moisturizer,83.57,1,0.1,53.91,4.99,0.05,0,83.57,8.36,75.21,53.91,21.3,3.76,83.96,0.2832
100007,1,2025-04-29,Ontario,Web,PayPal,2059,Small Business,Beauty,Serum,127.5,3,0.0,77.66,0.0,0.13,0,382.5,0.0,382.5,232.98,149.52,49.72,432.22,0.3909
100007,2,2025-04-29,Ontario,Web,PayPal,2059,Small Business,Beauty,Conditioner,45.57,1,0.1,28.02,0.0,0.13,0,45.57,4.56,41.01,28.02,12.99,5.33,46.34,0.3168
100008,1,2024-07-08,Ontario,Web,Credit Card,3675,Consumer,Home & Kitchen,Coffee Maker,90.92,1,0.0,62.6,0.0,0.13,0,90.92,0.0,90.92,62.6,28.32,11.82,102.74,0.3115
100009,1,2025-01-08,Ontario,Mobile App,Credit Card,2853,Enterprise,Beauty,Shampoo,51.31,1,0.0,31.14,0.0,0.13,0,51.31,0.0,51.31,31.14,20.17,6.67,57.98,0.3931
100009,2,2025-01-08,Ontario,Mobile App,Credit Card,2853,Enterprise,Electronics,Laptop,828.62,1,0.0,606.26,0.0,0.13,0,828.62,0.0,828.62,606.26,222.36,107.72,936.34,0.2683
100009,3,2025-01-08,Ontario,Mobile App,Credit Card,2853,Enterprise,Fashion,Sneakers,130.02,5,0.0,88.99,9.99,0.13,0,650.1,0.0,650.1,444.95,205.15,84.51,744.6,0.3156
100009,4,2025-01-08,Ontario,Mobile App,Credit Card,2853,Enterprise,Sports & Outdoors,Dumbbells,877.94,1,0.0,594.11,4.99,0.13,0,877.94,0.0,877.94,594.11,283.83,114.13,997.06,0.3233
100010,1,2024-07-19,Ontario,Web,Credit Card,1659,Consumer,Home & Kitchen,Vacuum Cleaner,293.13,2,0.0,166.86,14.99,0.13,0,586.26,0.0,586.26,333.72,252.54,76.21,677.46,0.4308
100011,1,2024-12-03,Alberta,Mobile App,Debit Card,2969,Small Business,Electronics,Smartphone,498.22,1,0.05,329.34,4.99,0.05,0,498.22,24.91,473.31,329.34,143.97,23.67,501.97,0.3042
100011,2,2024-12-03,Alberta,Mobile App,Debit Card,2969,Small Business,Fashion,T-Shirt,36.88,3,0.1,24.95,0.0,0.05,0,110.64,11.06,99.58,74.85,24.73,4.98,104.56,0.2483
100011,3,2024-12-03,Alberta,Mobile App,Debit Card,2969,Small Business,Sports & Outdoors,Yoga Mat,875.26,3,0.1,617.91,4.99,0.05,0,2625.78,262.58,2363.2,1853.73,509.47,118.16,2486.35,0.2156
100012,1,2025-02-23,Manitoba,Mobile App,Credit Card,3557,Small Business,Beauty,Shampoo,56.83,1,0.0,36.35,14.99,0.05,0,56.83,0.0,56.83,36.35,20.48,2.84,74.66,0.3604
100012,2,2025-02-23,Manitoba,Mobile App,Credit Card,3557,Small Business,Electronics,Camera,174.4,1,0.0,108.7,9.99,0.05,0,174.4,0.0,174.4,108.7,65.7,8.72,193.11,0.3767
100012,3,2025-02-23,Manitoba,Mobile App,Credit Card,3557,Small Business,Fashion,Handbag,87.39,1,0.0,59.19,0.0,0.05,0,87.39,0.0,87.39,59.19,28.2,4.37,91.76,0.3227
100012,4,2025-02-23,Manitoba,Mobile App,Credit Card,3557,Small Business,Electronics,Headphones,1471.51,1,0.1,937.17,4.99,0.05,0,1471.51,147.15,1324.36,937.17,387.19,66.22,1395.57,0.2924
100013,1,2025-04-25,Ontario,Retail Store,Credit Card,1546,Small Business,Electronics,Smartwatch,1492.64,1,0.0,1084.7,9.99,0.13,0,1492.64,0.0,1492.64,1084.7,407.94,194.04,1696.67,0.2733
100014,1,2024-12-14,Quebec,Marketplace,Gift Card,1992,Consumer,Sports & Outdoors,Bicycle Helmet,241.23,1,0.0,150.66,4.99,0.099,0,241.23,0.0,241.23,150.66,90.57,23.88,270.1,0.3755
100015,1,2024-11-18,British Columbia,Web,Debit Card,3901,Consumer,Sports & Outdoors,Bicycle Helmet,364.92,1,0.1,210.68,9.99,0.05,0,364.92,36.49,328.43,210.68,117.75,16.42,354.84,0.3585
